[2023-10-11T15:17:00.976718+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0004s [] []
[2023-10-11T15:17:01.179101+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0003s [] []
[2023-10-11T15:17:01.618036+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0003s [] []
[2023-10-11T15:17:01.808813+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0003s [] []
[2023-10-11T15:17:02.000012+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0004s [] []
[2023-10-11T15:17:02.180134+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0004s [] []
[2023-10-11T15:17:02.384061+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0003s [] []
[2023-10-11T15:17:02.563623+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0004s [] []
[2023-10-11T15:17:02.754018+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0004s [] []
[2023-10-11T15:17:02.957664+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0004s [] []
[2023-10-11T15:17:03.170037+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0003s [] []
[2023-10-11T15:17:17.291815+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T15:17:17.293011+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~7.3909s [] []
[2023-10-11T15:17:17.328658+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0011s [] []
[2023-10-11T15:17:18.044000+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0021s [] []
[2023-10-11T15:17:19.447741+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0020s [] []
[2023-10-11T15:17:19.452534+00:00] console.INFO: [200] GET/admin ..................... ~0.0020s [] []
[2023-10-11T15:17:19.468308+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0003s [] []
[2023-10-11T15:17:19.503753+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0028s [] []
[2023-10-11T15:17:26.392929+00:00] console.INFO: [200] GET/admin ..................... ~0.0031s [] []
[2023-10-11T15:17:26.407568+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T15:17:26.440650+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0022s [] []
[2023-10-11T15:17:28.524948+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0005s [] []
[2023-10-11T15:17:34.556937+00:00] console.INFO: [200] GET/admin ..................... ~0.0021s [] []
[2023-10-11T15:17:34.575027+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0004s [] []
[2023-10-11T15:17:34.664158+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0025s [] []
[2023-10-11T15:17:59.893416+00:00] console.INFO: [200] GET/admin ..................... ~0.0039s [] []
[2023-10-11T15:17:59.912826+00:00] console.INFO: [200] GET/admin ..................... ~0.0006s [] []
[2023-10-11T15:18:00.017387+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0010s [] []
[2023-10-11T15:18:02.223846+00:00] console.INFO: [200] GET/admin ..................... ~0.0031s [] []
[2023-10-11T15:18:03.239523+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0021s [] []
[2023-10-11T15:18:04.502518+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0043s [] []
[2023-10-11T15:19:08.229962+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0023s [] []
[2023-10-11T15:19:08.235181+00:00] console.INFO: [200] GET/admin ..................... ~0.0020s [] []
[2023-10-11T15:19:08.249394+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0004s [] []
[2023-10-11T15:19:08.253372+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~3.6954s [] []
[2023-10-11T15:19:08.353071+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0037s [] []
[2023-10-11T15:19:10.991971+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0026s [] []
[2023-10-11T15:19:12.483840+00:00] console.INFO: [200] GET/admin ..................... ~0.0021s [] []
[2023-10-11T15:19:12.503338+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T15:19:12.642238+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0020s [] []
[2023-10-11T15:19:23.853339+00:00] console.INFO: [200] GET/admin ..................... ~0.0030s [] []
[2023-10-11T15:19:23.865881+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T15:19:23.867005+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0001s [] []
[2023-10-11T15:19:23.917216+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0021s [] []
[2023-10-11T15:38:17.167152+00:00] console.INFO: [200] GET/admin ..................... ~0.0003s [] []
[2023-10-11T15:38:17.227686+00:00] console.INFO: [200] GET/admin ..................... ~0.0065s [] []
